IP Address,Load
172.20.130.148,0.0
127.0.0.1,0.0
172.20.130.148,0.0
192.168.137.1,0.0
172.20.130.148,0.0
0.0.0.0,0.0
0.0.0.0,0.0
0.0.0.0,0.0
172.20.130.148,0.0
0.0.0.0,0.0
172.20.130.148,0.0
0.0.0.0,0.0
0.0.0.0,0.0
172.20.130.148,0.0
0.0.0.0,0.0
0.0.0.0,0.0
172.20.130.148,0.0
::,0.0
0.0.0.0,0.0
::,0.0
127.0.0.1,0.0
0.0.0.0,0.0
::,0.0
0.0.0.0,0.0
172.20.130.148,0.0
0.0.0.0,0.0
172.20.130.148,0.0
192.168.111.1,0.0
172.20.130.148,0.0
::,0.0
127.0.0.1,0.0
127.0.0.1,0.0
0.0.0.0,0.0
0.0.0.0,0.0
127.0.0.1,0.0
192.168.137.1,0.0
192.168.138.1,0.0
::,0.0
172.20.130.148,0.0
::,0.0
192.168.111.1,0.0
::,0.0
0.0.0.0,0.0
127.0.0.1,0.0
0.0.0.0,0.0
172.20.130.148,0.0
192.168.111.1,0.0
0.0.0.0,0.0
0.0.0.0,0.0
0.0.0.0,0.0
::1,0.0
::,0.0
127.0.0.1,0.0
0.0.0.0,0.0
192.168.137.1,0.0
::,0.0
0.0.0.0,0.0
127.0.0.1,0.0
::,0.0
192.168.137.1,0.0
::1,0.0
0.0.0.0,0.0
0.0.0.0,50.0
172.20.130.148,0.0
fe80::5a98:de70:c587:81b6,0.0
0.0.0.0,0.0
172.20.130.148,0.0
127.0.0.1,0.0
::,0.0
0.0.0.0,0.0
127.0.0.1,0.0
192.168.138.1,0.0
::,0.0
127.0.0.1,0.0
192.168.111.1,0.0
192.168.138.1,0.0
172.20.130.148,0.0
0.0.0.0,0.0
::,0.0
127.0.0.1,0.0
127.0.0.1,0.0
0.0.0.0,0.0
172.20.130.148,0.0
0.0.0.0,0.0
127.0.0.1,0.0
172.20.130.148,0.0
::,0.0
127.0.0.1,0.0
::,0.0
172.20.130.148,0.0
172.20.130.148,0.0
0.0.0.0,0.0
127.0.0.1,0.0
127.0.0.1,0.0
0.0.0.0,0.0
192.168.111.1,0.0
172.20.130.148,0.0
::,0.0
172.20.130.148,0.0
::,0.0
192.168.137.1,0.0
192.168.137.1,0.0
172.20.130.148,0.0
::,0.0
127.0.0.1,0.0
::,0.0
192.168.138.1,0.0
192.168.138.1,0.0
127.0.0.1,0.0
127.0.0.1,0.0
::1,0.0
192.168.137.1,0.0
127.0.0.1,0.0
172.20.130.148,0.0
0.0.0.0,0.0
::,0.0
::,0.0
::,0.0
127.0.0.1,0.0
0.0.0.0,0.0
::1,0.0
127.0.0.1,0.0
0.0.0.0,0.0
::,0.0
192.168.138.1,0.0
172.20.130.148,0.0
127.0.0.1,0.0
172.20.130.148,0.0
192.168.137.1,0.0
0.0.0.0,0.0
172.20.130.148,0.0
127.0.0.1,0.0
0.0.0.0,0.0
172.20.130.148,0.0
172.20.130.148,0.0
::,0.0
::,0.0
::,0.0
172.20.130.148,0.0
0.0.0.0,0.0
0.0.0.0,0.0
0.0.0.0,0.0
0.0.0.0,0.0
::,0.0
::,0.0
127.0.0.1,0.0
127.0.0.1,0.0
127.0.0.1,0.0
::1,0.0
::,0.0
fe80::51de:e025:ac5f:adf7,0.0
127.0.0.1,0.0
127.0.0.1,0.0
172.20.130.148,0.0
0.0.0.0,0.0
0.0.0.0,0.0
172.20.130.148,0.0
0.0.0.0,0.0
127.0.0.1,0.0
0.0.0.0,0.0
::,0.0
172.20.130.148,0.0
127.0.0.1,0.0
172.20.130.148,0.0
127.0.0.1,0.0
172.20.130.148,0.0
::,0.0
::1,0.0
0.0.0.0,0.0
::,0.0
0.0.0.0,0.0
172.20.130.148,0.0
::,0.0
127.0.0.1,0.0
172.20.130.148,0.0
0.0.0.0,0.0
0.0.0.0,0.0
172.20.130.148,0.0
0.0.0.0,0.0
127.0.0.1,0.0
172.20.130.148,0.0
172.20.130.148,0.0
::,0.0
fe80::51de:e025:ac5f:adf7,0.0
0.0.0.0,0.0
127.0.0.1,0.0
192.168.111.1,0.0
127.0.0.1,0.0
fe80::5a98:de70:c587:81b6,0.0
172.20.130.148,0.0
0.0.0.0,0.0
127.0.0.1,0.0
127.0.0.1,0.0
172.20.130.148,0.0
127.0.0.1,0.0
127.0.0.1,0.0
0.0.0.0,0.0
::1,0.0
172.20.130.148,0.0
192.168.137.1,0.0
172.20.130.148,0.0
::,0.0
0.0.0.0,0.0
127.0.0.1,0.0
172.20.130.148,0.0
0.0.0.0,0.0
0.0.0.0,0.0
